Name,MFR,Country,Type,Calories,CalFat,TotFat,SatFat,Chol,Na,Carbs,Fiber,Sugars,Protein,Cacao,Price,Review_1_to_5
Noir 86% Cacao,Cote D'Or,Belgium,Dark,460,380,44,26,0,0,28,10,10,8,87.25260913479514,16.99262000620365,3.048688039805694
70% Cocoa,Cote D'Or,Belgium,Dark,600,432,48,30,10,0,42,10,28,8,67.51756747645986,18.106150408275425,3.135256008002148
Solid Dark Chocolate Bar,Godiva,Belgium,Dark,534.883721,302.325581,32.5581395,20.9302326,0,0,60.4651163,9.30232558,46.5116279,6.97674419,83.15337158273906,18.89279972668737,4.410384353279241
72% Extra Dark Chocolate,Godiva,Belgium,Dark,534.883721,348.837209,39.5348837,20.9302326,0,81.3953488,41.8604651,13.9534884,27.9069767,9.30232558,70.53671987294817,17.645378191955388,3.2328586708904576
Extra Dark Chocolate Bar,Guylian,Belgium,Dark,575.757576,333.333333,39.3939394,24.2424242,0,90.9090909,48.4848485,12.1212121,33.3333333,9.09090909,90.95469112508,17.430733697488904,4.130520477139028
Dark Chocolate Bar,Guylian,Belgium,Dark,575.757576,303.030303,33.3333333,0,0,121.212121,57.5757576,9.09090909,18.1818182,6.06060606,71.55729453079402,14.71762403100729,2.8777895770577095
Dark Chocolate - 70% Cacao,Nacional De Chocolates,Colombia,Dark,571.428571,334.285714,37.1428571,22.8571429,0,0,48.5714286,11.4285714,28.5714286,7.14285714,71.11467607129693,5.454840199649333,3.3295338772704355
Dark Chocolate - 65% cacao,Nacional De Chocolates,Colombia,Dark,585.714286,360,40,22.8571429,0,0,50,10,34.2857143,5.71428571,67.81467903172525,3.631291330978274,3.4637427385899033
Dark Chocolate,Merci,France,Dark,578.947368,342.105263,36.8421053,21.0526316,26.3157895,39.4736842,52.6315789,0,44.7368421,7.89473684,72.43223830591887,6.630469474196434,4.034316871695859
Noir 76% Cocoa,Poulain,France,Dark,600,372,42,26,0,8,4,8,24,10,75.02764785006701,6.477032536268234,3.2659344691162597
Ultime Noir 86% Cocoa,Poulain,France,Dark,640,450,50,30,0,8,34,10,16,10,85.3857738653957,7.017049390822649,3.2755159441185135
Dark Chocolate Bar 86%,Poulain,France,Dark,640,450,50,30,0,8,34,10,16,10,86.32699231962287,4.021281230449676,3.318892436689753
Noir Cafe 64% Cocoa,Poulain,France,Dark,580,348,40,24,10,20,48,6,32,8,64.26119951728244,5.725889804586768,3.243761229272351
Extra Dark Chocolate,President's Choice,France,Dark,605.263158,378.947368,42.1052632,26.3157895,0,0,44.7368421,10.5263158,28.9473684,10.5263158,66.92616631044075,6.333813624456525,3.2033148671050453
